Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Turns Ratio - Primary:Secondary","Impedance - Primary (Ohms)","Impedance - Secondary (Ohms)","DC Resistance (DCR) - Primary","DC Resistance (DCR) - Secondary","Transformer Type","Frequency Range","Frequency Response","Voltage - Isolation","Insertion Loss","Return Loss","Power Level","Operating Temperature","Approval Agency","Mounting Type","Size / Dimension","Height - Seated (Max)","Termination Style"
"http://catalog.triadmagnetics.com/Asset/MET-39-T.pdf","//media.digikey.com/photos/Triad%20Magnetics%20Photos/MET-xx-T.JPG","237-1466-ND","MET-39-T","Triad Magnetics","Triad Magnetics","TRANSFORMER 500:50 3.0MADC","1,147","14.44","0","1","Bulk","MET","Active","3.16:1","500","50","55Ohm","8Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 1 Second","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
"http://catalog.triadmagnetics.com/Asset/MET-46-T.pdf","//media.digikey.com/Photos/Triad%20Magnetics%20Photos/MET-46-T.JPG","237-1470-ND","MET-46-T","Triad Magnetics","Triad Magnetics","TEL TRANS 600:600 3.0MADC","1,009","14.58","0","1","Bulk","MET","Active","1:1","600","600","85Ohm","110Ohm","Data/Voice Coupling","300Hz ~ 3.5kHz","±2dB","1000VRMS @ 1 Second","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
"http://catalog.triadmagnetics.com/Asset/MET-31-T.pdf","//media.digikey.com/photos/Tamura%20Photos/MET-01,%20MET-05,%20MET-09,%20MET-11,%20MET-17,%20MET-32,%20MET-31,%20MET-38,%20MET-59.jpg","237-1469-ND","MET-31-T","Triad Magnetics","Triad Magnetics","TRANSFORMER 600CT:600CT 3.0MADC","806","15.61","0","1","Bulk","MET","Active","1:1","600CT","600CT","70Ohm","95Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 1 Second","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
"http://catalog.triadmagnetics.com/Asset/MET-60-T.pdf","//media.digikey.com/photos/Triad%20Magnetics%20Photos/MET-60-T.JPG","237-1464-ND","MET-60-T","Triad Magnetics","Triad Magnetics","TRANSFORMER 135:135CT 10.0MADC","742","15.83","0","1","Bulk","MET","Active","1:1","135","135CT","10.5Ohm","10.8Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 1 Second","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
"https://www.tamuracorp.com/clientuploads/pdfs/engineeringdocs/MET-09.pdf","//media.digikey.com/photos/Tamura%20Photos/MET-01,%20MET-05,%20MET-09,%20MET-11,%20MET-17,%20MET-32,%20MET-31,%20MET-38,%20MET-59.jpg","MT4145-ND","MET-09","Tamura","Tamura","TRANSFORMER 10KCT:10KCT 1.0MADC","7,104","18.68","0","1","Bulk","MET","Active","1:1","10kCT","10kCT","1kOhm","1.3kOhm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","500VRMS @ 30 Seconds","-","-","40mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
"http://catalog.triadmagnetics.com/Asset/MET-32-T.pdf","//media.digikey.com/Photos/Triad%20Magnetics%20Photos/MET-Series.jpg","237-1463-ND","MET-32-T","Triad Magnetics","Triad Magnetics","TRANSFORMER 600:150/150 3.0MADC","1,057","16.03","0","1","Bulk","MET","Active","2:1:1","600","150/150","70Ohm","95Ohm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 30 Seconds","-","-","50mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
"http://catalog.triadmagnetics.com/Asset/SP-33.pdf","//media.digikey.com/photos/Triad%20Magnetics%20Photos/SP-33,%20SP-70.jpg","237-1144-ND","SP-33","Triad Magnetics","Triad Magnetics","TRANS 1K/50 OHM IMPEDANCE AUDIO","3,237","21.87","0","1","Bulk","Red-Spec","Active","4.4:1","1k","50","145Ohm","8Ohm","Audio Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 1 Second","-","-","50mW","-40°C ~ 85°C","-","Through Hole","0.410"" L x 0.310"" W (10.41mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
"http://catalog.triadmagnetics.com/Asset/MET-09-T.pdf","//media.digikey.com/Photos/Triad%20Magnetics%20Photos/MET-Series.jpg","237-1468-ND","MET-09-T-B","Triad Magnetics","Triad Magnetics","TRANSFORMER 10KCT:10KCT 1.0MADC","7,644","18.2","0","1","Bulk","MET","Active","1:1","10kCT","10kCT","1kOhm","1.3kOhm","Data/Voice Coupling","300Hz ~ 100kHz","±2dB","500VRMS @ 1 Second","-","-","40mW","-20°C ~ 85°C","-","Through Hole","0.409"" L x 0.310"" W (10.40mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
"http://catalog.triadmagnetics.com/Asset/SP-66.pdf","//media.digikey.com/photos/Triad%20Magnetics%20Photos/SP-4,%20SP-21,%20SP-66,%20SP-67,%20SP-69.jpg","237-1151-ND","SP-66","Triad Magnetics","Triad Magnetics","TRANSER 10K CT/ 10K CT AUDIO","7,132","22.93","0","1","Bulk","Red-Spec","Active","1:1","10kCT","10kCT","1kOhm","1.3kOhm","Audio Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 1 Second","-","-","50mW","-40°C ~ 85°C","-","Through Hole","0.410"" L x 0.310"" W (10.41mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
"http://catalog.triadmagnetics.com/Asset/SP-48.pdf","//media.digikey.com/photos/Triad%20Magnetics%20Photos/SP-42,%20SP-48,%20SP-51.jpg","237-1146-ND","SP-48","Triad Magnetics","Triad Magnetics","TRANSER 7.5K CT/ 12 OHM AUDIO","7,850","23.13","0","1","Bulk","Red-Spec","Active","25:1","7.5kCT","12","796Ohm","2.9Ohm","Audio Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 1 Second","-","-","50mW","-40°C ~ 85°C","-","Through Hole","0.410"" L x 0.310"" W (10.41mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
"https://www.hammfg.com/electronics/transformers/audio/101.pdf","//media.digikey.com/Photos/Hammond%20Mfg%20Photos/101f-b.jpg","HM2343-ND","101D","Hammond Manufacturing","Hammond Manufacturing","TRANSFORMER AUDIO 300CT/600CT","182","24.21","0","1","Bulk","101","Active","-","300CT","600CT","20.4Ohm","54Ohm","Miniature Epoxy Potted","200Hz ~ 100kHz","±0.5dB","-","-","-","100mW","-","-","Through Hole","0.450"" L x 0.450"" W (11.43mm x 11.43mm)","0.480"" (12.19mm)","PC Pin"
"http://catalog.triadmagnetics.com/Asset/SP-67.pdf","//media.digikey.com/photos/Triad%20Magnetics%20Photos/SP-4,%20SP-21,%20SP-66,%20SP-67,%20SP-69.jpg","237-1152-ND","SP-67","Triad Magnetics","Triad Magnetics","TRANSER 600 CT/ 600 CT AUDIO","8,572","24.81","0","1","Bulk","Red-Spec","Active","1:1","600CT","600CT","72Ohm","92Ohm","Audio Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 1 Second","-","-","50mW","-40°C ~ 85°C","-","Through Hole","0.410"" L x 0.310"" W (10.41mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
"http://catalog.triadmagnetics.com/Asset/SP-69.pdf","//media.digikey.com/photos/Triad%20Magnetics%20Photos/SP-4,%20SP-21,%20SP-66,%20SP-67,%20SP-69.jpg","237-1154-ND","SP-69","Triad Magnetics","Triad Magnetics","TRANS 600/ 600CT 150 SPLIT AUDIO","4,863","24.81","0","1","Bulk","Red-Spec","Active","2:1:1","600","600, 150/150","72Ohm","40Ohm, 45Ohm","Audio Coupling","300Hz ~ 100kHz","±2dB","1000VRMS @ 1 Second","-","-","50mW","-40°C ~ 85°C","-","Through Hole","0.410"" L x 0.310"" W (10.41mm x 7.87mm)","0.465"" (11.80mm)","PC Pin"
