Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Resistance","Tolerance","Power (Watts)","Composition","Features","Temperature Coefficient","Operating Temperature","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)","Number of Terminations","Failure Rate"
"https://www.vishay.com/docs/30204/rsns.pdf","//media.digikey.com/photos/Vishay%20Dale%20Photos/RSB%20SERIES.jpg","RSB-1.0RTR-ND,RSB-1.0RCT-ND","RS02B1R000FE70","Vishay Dale","Vishay Dale","RES 1.0 OHM 3W 1% WW AXIAL","9,264","1.82","0","1","Tape & Reel (TR),Cut Tape (CT)","RS","Active","1 Ohms","±1%","3W","Wirewound","Moisture Resistant","±50ppm/°C","-65°C ~ 250°C","Axial","Axial","0.187"" Dia x 0.560"" L (4.75mm x 14.22mm)","-","2","-"
"https://www.vishay.com/docs/31019/ptf.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/PTF-SERIES.jpg","PTF10KDTR-ND,PTF10KDCT-ND","PTF5610K000BZEB","Vishay Dale","Vishay Dale","RES 10K OHM 1/8W 0.1% AXIAL","5,511","1.83","0","1","Tape & Reel (TR),Cut Tape (CT)","PTF","Active","10 kOhms","±0.1%","0.125W, 1/8W","Metal Film","Moisture Resistant","±5ppm/°C","-55°C ~ 150°C","Axial","Axial","0.091"" Dia x 0.250"" L (2.31mm x 6.35mm)","-","2","-"
"https://www.vishay.com/docs/31019/ptf.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/PTF-SERIES.jpg","PTF100CTR-ND,PTF100CCT-ND","PTF56100R00BYEB","Vishay Dale","Vishay Dale","RES 100 OHM 1/8W 0.1% AXIAL","6,770","2.12","0","1","Tape & Reel (TR),Cut Tape (CT)","PTF","Active","100 Ohms","±0.1%","0.125W, 1/8W","Metal Film","Moisture Resistant","±10ppm/°C","-55°C ~ 150°C","Axial","Axial","0.091"" Dia x 0.250"" L (2.31mm x 6.35mm)","-","2","-"
"http://www.ohmite.com/assets/docs/res_wh_wn.pdf?r=false","//media.digikey.com/renders/Ohmite%20Renders/WHC-WNC10RFE-T.jpg","WNC10RFETR-ND,WNC10RFECT-ND","WNC10RFET","Ohmite","Ohmite","RES 10 OHM 2W 1% AXIAL","35,315","2.23","0","1","Tape & Reel (TR),Cut Tape (CT)","WN","Active","10 Ohms","±1%","2W","Wirewound","Non-Inductive","±50ppm/°C","-55°C ~ 150°C","Axial","Axial","0.180"" Dia x 0.449"" L (4.57mm x 11.40mm)","-","2","-"
"https://www.seielect.com/catalog/sei-mr_tmr.pdf","//media.digikey.com/photos/Stackpole%20Photos/MR%205%200.05%201%25%20R.JPG","MR5FT50L0TR-ND,MR5FT50L0CT-ND","MR5FT50L0","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 0.05 OHM 5W 1% AXIAL","9,889","1.9","0","1","Tape & Reel (TR),Cut Tape (CT)","MR","Active","50 mOhms","±1%","5W","Metal Foil","Current Sense, Moisture Resistant, Non-Inductive, Non-Magnetic","-","-55°C ~ 275°C","Axial","Axial","0.330"" Dia x 0.925"" L (8.38mm x 23.50mm)","-","2","-"
"https://www.seielect.com/catalog/sei-mr_tmr.pdf","//media.digikey.com/photos/Stackpole%20Photos/MR%205%200.05%201%25%20R.JPG","MR5FT10L0TR-ND,MR5FT10L0CT-ND","MR5FT10L0","Stackpole Electronics Inc","Stackpole Electronics Inc","RES 0.01 OHM 5W 1% AXIAL","3,848","1.9","0","1","Tape & Reel (TR),Cut Tape (CT)","MR","Active","10 mOhms","±1%","5W","Metal Foil","Current Sense, Moisture Resistant, Non-Inductive, Non-Magnetic","-","-55°C ~ 275°C","Axial","Axial","0.330"" Dia x 0.925"" L (8.38mm x 23.50mm)","-","2","-"
"https://www.vishay.com/docs/31018/cmfind.pdf","//media.digikey.com/Renders/Vishay%20Dale%20Renders/CMF07.jpg","CMF2.0KQBTR-ND,CMF2.0KQBCT-ND","CMF502K0000BEEB","Vishay Dale","Vishay Dale","RES 2.0K OHM 1/4W 0.1% AXIAL","2,921","2.15","0","1","Tape & Reel (TR),Cut Tape (CT)","CMF","Active","2 kOhms","±0.1%","0.25W, 1/4W","Metal Film","Flame Retardant Coating, Moisture Resistant, Safety","±25ppm/°C","-55°C ~ 175°C","Axial","Axial","0.065"" Dia x 0.150"" L (1.65mm x 3.81mm)","-","2","-"
"http://www.ohmite.com/assets/docs/res_wh_wn.pdf?r=false","//media.digikey.com/Photos/Ohmite%20Photos/WH-WN-20.jpg","WNE1R0FETTR-ND,WNE1R0FETCT-ND","WNE1R0FET","Ohmite","Ohmite","RES 1 OHM 5W 1% AXIAL","7,440","2.34","0","1","Tape & Reel (TR),Cut Tape (CT)","WN","Active","1 Ohms","±1%","5W","Wirewound","Non-Inductive","±50ppm/°C","-55°C ~ 150°C","Axial","Axial","0.295"" Dia x 0.787"" L (7.50mm x 20.00mm)","-","2","-"
"https://www.ohmite.com/assets/docs/res_tww_twm.pdf?r=false","//media.digikey.com/photos/Ohmite%20Photos/TWW5%20SERIES.JPG","TWW5JR15E-ND","TWW5JR15E","Ohmite","Ohmite","RES 0.15 OHM 5W 5% RADIAL","24,482","1.2","0","1","Bulk","TWW","Active","150 mOhms","±5%","5W","Wirewound","Flame Proof, Safety","±400ppm/°C","-55°C ~ 275°C","Radial","Radial","0.492"" L x 0.354"" W (12.50mm x 9.00mm)","1.024"" (26.00mm)","2","-"
"https://www.vishay.com/docs/30204/rsns.pdf","//media.digikey.com/photos/Vishay%20Dale%20Photos/RSC%20SERIES.jpg","RSC-15KRTR-ND,RSC-15KRCT-ND","RS00515K00FE73","Vishay Dale","Vishay Dale","RES 15K OHM 5W 1% WW AXIAL","2,296","3.61","0","1","Tape & Reel (TR),Cut Tape (CT)","RS","Active","15 kOhms","±1%","5W","Wirewound","Moisture Resistant","±20ppm/°C","-65°C ~ 250°C","Axial","Axial","0.312"" Dia x 0.875"" L (7.92mm x 22.23mm)","-","2","-"
