Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Capacitance @ Vr, F","Capacitance Ratio","Capacitance Ratio Condition","Voltage - Peak Reverse (Max)","Diode Type","Q @ Vr, F","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
"http://toshiba.semicon-storage.com/info/docget.jsp?did=2798&prodName=1SV281","//media.digikey.com/Renders/Toshiba%20Renders/SC-79,%20SOD-523.jpg","1SV281(TPH3F)TR-ND,1SV281(TPH3F)CT-ND,1SV281(TPH3F)DKR-ND","1SV281(TPH3,F)","Toshiba Semiconductor and Storage","Toshiba Semiconductor and Storage","DIODE VCO V/UHF 10V ESC","22,198","0.53","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","8.7pF @ 4V, 1MHz","2","C1/C4","10 V","Single","-","125°C (TJ)","Surface Mount","SC-79, SOD-523","ESC"
"http://toshiba.semicon-storage.com/info/docget.jsp?did=2769&prodName=1SV239","//media.digikey.com/Renders/Toshiba%20Renders/SOD-323,SC-76.jpg","1SV239TPH3FTR-ND,1SV239TPH3FCT-ND,1SV239TPH3FDKR-ND","1SV239TPH3F","Toshiba Semiconductor and Storage","Toshiba Semiconductor and Storage","DIODE VARACTOR 15V USC","11,459","0.68","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","2pF @ 10V, 1MHz","2.4","C2/C10","15 V","Single","-","125°C (TJ)","Surface Mount","SC-76, SOD-323","USC"
"https://www.skyworksinc.com:443/search?q=smv1273_079lf_203018b#documents","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SC79;;2.jpg","863-1728-2-ND,863-1728-1-ND,863-1728-6-ND","SMV1273-079LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR","219,175","0.57","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","2.4pF @ 25V, 1MHz","7","C2/C25","29 V","Single","-","-55°C ~ 125°C (TJ)","Surface Mount","SC-79, SOD-523","SC-79"
"https://www.skyworksinc.com:443/search?q=smv1245_series_200060i#documents","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SC79;;2.jpg","863-1715-2-ND,863-1715-1-ND,863-1715-6-ND","SMV1245-079LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR 15V 20MA SC-79","19,955","0.57","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","5.4pF @ 1V, 1MHz","4.2","C1/C9","26 V","Single","-","-55°C ~ 125°C (TJ)","Surface Mount","SC-79, SOD-523","SC-79"
"https://www.skyworksinc.com:443/search?q=smv2025_series_201431e#documents","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SC79;;2.jpg","863-1741-2-ND,863-1741-1-ND,863-1741-6-ND","SMV2025-079LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR","6,032","0.57","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","1.25pF @ 18V, 1MHz","2.2","C2/C10","20 V","Single","-","-55°C ~ 175°C (TJ)","Surface Mount","SC-79, SOD-523","SC-79"
"https://www.skyworksinc.com:443/search?q=smv1275_079lf_203096b#documents","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SC79;;2.jpg","863-1729-2-ND,863-1729-1-ND,863-1729-6-ND","SMV1275-079LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR","4,532","0.57","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","1.81pF @ 4V, 1MHz","1.8","C1/C4","10 V","Single","-","-55°C ~ 125°C (TJ)","Surface Mount","SC-79, SOD-523","SC-79"
"https://rocelec.widen.net/view/pdf/9q2e7vhxo4/INFNS15715-1.pdf?t.download=true&u=5oefqw","//media.digikey.com/Renders/Infineon%20Renders/SC-79,%20SOD-523.jpg","BBY5302VH6327XTSA1TR-ND,BBY5302VH6327XTSA1CT-ND,BBY5302VH6327XTSA1DKR-ND","BBY5302VH6327XTSA1","Infineon Technologies","Infineon Technologies","DIODE TUNING 6V 20MA SC79","2,090","0.76","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","3.1pF @ 3V, 1MHz","2.6","C1/C3","6 V","Single","-","-55°C ~ 125°C (TJ)","Surface Mount","SC-79, SOD-523","PG-SC79-2"
"https://www.nxp.com/docs/en/data-sheet/BB174.pdf","//media.digikey.com/renders/NXP%20Semi%20Renders/SOD-523%20(1-1G1A,%20SC-79).jpg","568-11815-2-ND,568-11815-1-ND,568-11815-6-ND","BB174X","NXP USA Inc.","NXP USA Inc.","DIODE VHF VAR CAP 30V SOD523","17,724","0.64","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","2.22pF @ 28V, 1MHz","10.9","C1/C28","30 V","Single","-","-55°C ~ 125°C (TJ)","Surface Mount","SC-79, SOD-523","SOD-523"
"https://www.skyworksinc.com:443/search?q=smv1276_079lf_203098b#documents","//media.digikey.com/Renders/Skyworks%20Solutions%20Renders/863;SC79;;2.jpg","863-1730-2-ND,863-1730-1-ND,863-1730-6-ND","SMV1276-079LF","Skyworks Solutions Inc.","Skyworks Solutions Inc.","DIODE VARACTOR","20,936","0.64","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","2.35pF @ 4V, 1MHz","2","C1/C4","10 V","Single","-","-55°C ~ 125°C (TJ)","Surface Mount","SC-79, SOD-523","SC-79"
"https://www.nxp.com/docs/en/data-sheet/BB145B.pdf","//media.digikey.com/renders/NXP%20Semi%20Renders/SOD-523%20(1-1G1A,%20SC-79).jpg","568-3428-2-ND,568-3428-1-ND,568-3428-6-ND","BB145B,115","NXP USA Inc.","NXP USA Inc.","DIODE VAR CAP 6V SOD-523","27,261","0.6","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","2.95pF @ 4V, 1MHz","2.2","C1/C4","6 V","Single","-","-55°C ~ 150°C (TJ)","Surface Mount","SC-79, SOD-523","SOD-523"
