Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Type","Circuit","Independent Circuits","Current - Output High, Low","Voltage Supply Source","Voltage - Supply","Operating Temperature","Mounting Type","Package / Case","Supplier Device Package"
"http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fds10cp154a","//media.digikey.com/Renders/National%20Semi%20Renders/Pkg%20SQA40A.jpg","DS10CP154ATSQ/NOPBTR-ND,DS10CP154ATSQ/NOPBCT-ND,DS10CP154ATSQ/NOPBDKR-ND","DS10CP154ATSQ/NOPB","Texas Instruments","Texas Instruments","IC CROSSPOINT SW 1 X 4:4 40WQFN","411","16.66","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Crosspoint Switch","1 x 4:4","1","-","Single Supply","3V ~ 3.6V","-40°C ~ 85°C","Surface Mount","40-WFQFN Exposed Pad","40-WQFN (6x6)"
"http://www.onsemi.com/pub/Collateral/NB6L72-D.PDF","//media.digikey.com/renders/Rohm%20Renders/VQFN016V3030.jpg","NB6L72MNGOS-ND","NB6L72MNG","ON Semiconductor","ON Semiconductor","IC CROSSPOINT SW 1 X 2:2 16QFN","205","19.33","0","1","Tube","-","Active","Crosspoint Switch","1 x 2:2","1","-","Single Supply","2.3V ~ 3.6V","-40°C ~ 85°C","Surface Mount","16-VFQFN Exposed Pad","16-QFN (3x3)"
"http://www.ti.com/general/docs/suppproductinfo.tsp?distId=10&gotoUrl=http%3A%2F%2Fwww.ti.com%2Flit%2Fgpn%2Fds25cp104a","//media.digikey.com/Renders/National%20Semi%20Renders/Pkg%20SQA40A.jpg","DS25CP104ATSQ/NOPBTR-ND,DS25CP104ATSQ/NOPBCT-ND,DS25CP104ATSQ/NOPBDKR-ND","DS25CP104ATSQ/NOPB","Texas Instruments","Texas Instruments","IC CROSSPOINT SW 1 X 4:4 40WQFN","140","28.58","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","-","Active","Crosspoint Switch","1 x 4:4","1","-","Single Supply","3V ~ 3.6V","-40°C ~ 85°C","Surface Mount","40-WFQFN Exposed Pad","40-WQFN (6x6)"
"http://www.onsemi.com/pub/Collateral/NB7L72M-D.PDF","//media.digikey.com/renders/Rohm%20Renders/VQFN016V3030.jpg","NB7L72MMNG-ND","NB7L72MMNG","ON Semiconductor","ON Semiconductor","IC CROSSPOINT SW 1 X 2:2 16QFN","1,985","20.32","0","1","Tube","-","Active","Crosspoint Switch","1 x 2:2","1","-","Single Supply","2.3V ~ 3.6V","-40°C ~ 85°C","Surface Mount","16-VFQFN Exposed Pad","16-QFN (3x3)"
"https://ww1.microchip.com/downloads/en/DeviceDoc/sy89540u.pdf","//media.digikey.com/photos/Micrel%20Photos/576-44-MLF.jpg","576-3241-ND","SY89540UMY","Microchip Technology","Microchip Technology","IC CROSSPOINT SW 1 X 4:4 44MLF","15","20.32","0","1","Tray","Precision Edge®","Active","Crosspoint Switch","1 x 4:4","1","-","Single Supply","2.375V ~ 2.625V","-40°C ~ 85°C","Surface Mount","44-VFQFN Exposed Pad, 44-MLF®","44-MLF® (7x7)"
"http://www.microchip.com/mymicrochip/filehandler.aspx?ddocname=en582135","//media.digikey.com/photos/Micrel%20Photos/576-44-MLF.jpg","576-2537-ND","SY58040UMY","Microchip Technology","Microchip Technology","IC CROSSPOINT SW 1 X 4:4 44MLF","334","26.59","0","1","Tray","Precision Edge®","Active","Crosspoint Switch","1 x 4:4","1","-","Single Supply","2.375V ~ 2.625V, 3V ~ 3.6V","-40°C ~ 85°C","Surface Mount","44-VFQFN Exposed Pad, 44-MLF®","44-MLF® (7x7)"
"https://www.analog.com/media/en/technical-documentation/data-sheets/ADN4612.pdf","//media.digikey.com/Renders/Analog%20Devices%20Renders/505;CP-88-7;CP;88.jpg","ADN4612ACPZ-ND","ADN4612ACPZ","Analog Devices Inc.","Analog Devices Inc.","IC CROSSPOINT SW 1X12:12 88LFCSP","239","80.1","0","1","Tray","XStream™","Active","Crosspoint Switch","1 x 12:12","1","-","Single Supply","1.7V ~ 3.6V","-40°C ~ 85°C","Surface Mount","88-VFQFN Exposed Pad, CSP","88-LFCSP-VQ (12x12)"
"//media.digikey.com/pdf/Data%20Sheets/Avago%20PDFs/PEX8734_Brief.pdf","//media.digikey.com/Photos/Broadcom/MFG_PEX87xx674FCBGA_27x27.jpg","516-3571-ND","PEX8734-AB80BI G","Broadcom Limited","Broadcom Limited","IC PCIE SWITCH 676FCBGA","361","235.79","0","1","Tray","ExpressLane™","Active","PCIe Switch","-","32","-","-","-","-40°C ~ 85°C","Surface Mount","-","676-FCBGA (27x27)"
"https://assets.nexperia.com/documents/data-sheet/74LVC1G157.pdf","//media.digikey.com/Photos/Nexperia/MFG_PMN20ENAX.jpg","1727-3490-2-ND,1727-3490-1-ND,1727-3490-6-ND","74LVC1G157GV,125","Nexperia USA Inc.","Nexperia USA Inc.","IC MULTIPLEXER 1 X 2:1 6TSOP","11,630","0.48","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","74LVC","Active","Multiplexer","1 x 2:1","1","32mA, 32mA","Single Supply","1.65V ~ 5.5V","-40°C ~ 125°C","Surface Mount","SC-74, SOT-457","6-TSOP"
"http://toshiba.semicon-storage.com/info/docget.jsp?did=2603&prodName=TC7SB3157CFU","//media.digikey.com/Renders/Toshiba%20Renders/6-TSSOP,%20SC-88,%20SOT-363.jpg","TC7SB3157CFULF(CTTR-ND,TC7SB3157CFULF(CTCT-ND,TC7SB3157CFULF(CTDKR-ND","TC7SB3157CFU,LF(CT","Toshiba Semiconductor and Storage","Toshiba Semiconductor and Storage","IC MULTIPLX/DEMUX 1X2:1 US6","16,239","0.61","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","TC7SB","Active","Multiplexer/Demultiplexer","1 x 2:1","1","-","Single Supply","1.65V ~ 5.5V","-40°C ~ 85°C","Surface Mount","6-TSSOP, SC-88, SOT-363","US6"
