Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty,Package,Series,"Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
"https://api.kemet.com/component-edge/download/datasheet/FGR0H474ZF.pdf","//media.digikey.com/Photos/Kemet%20Photos/MFG_FGR0H474ZF.jpg","399-17198-ND","FGR0H474ZF","KEMET","KEMET","CAP 470MF -20% +80% 5.5V T/H","982","5.23","0","1","Bulk","FGR","Active","470 mF","-20%, +80%","5.5 V","120Ohm @ 1kHz","-","PC Pins","Through Hole","Radial, Can","0.200"" (5.08mm)","0.571"" Dia (14.50mm)","0.709"" (18.00mm)","-40°C ~ 85°C"
"//media.digikey.com/pdf/Data%20Sheets/Cornell%20Dubilier%20PDFs/EDC_Type_Prelim.pdf","//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/EDC155Z5R5H.jpg","338-EDC155Z5R5H-ND","EDC155Z5R5H","Cornell Dubilier Electronics (CDE)","Cornell Dubilier Electronics (CDE)","CAP 1.5F -20% +80% 5.5V T/H","135","5.28","0","1","Tray","EDC","Active","1.5 F","-20%, +80%","5.5 V","30Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Axial, Can - Horizontal","0.787"" (20.00mm)","0.748"" Dia (19.00mm)","0.276"" (7.00mm)","-25°C ~ 70°C"
"https://www.vishay.com/docs/28421/220edlc-enycap.pdf","//media.digikey.com/Photos/Vishay BC Photos/MFG_MAL222090001E3.jpg","4828PHBK-ND","MAL222091001E3","Vishay Beyschlag/Draloric/BC Components","Vishay Beyschlag/Draloric/BC Components","CAP 40F -20% +50% 2.7V T/H","728","5.38","0","1","Tray","ENYCAP™ 220 EDLC","Active","40 F","-20%, +50%","2.7 V","12mOhm","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.709"" Dia (18.00mm)","1.319"" (33.50mm)","-40°C ~ 85°C"
"https://api.kemet.com/component-edge/download/datasheet/FGH0H105ZF.pdf","//media.digikey.com/Photos/Kemet%20Photos/FGx0H105ZF.jpg","399-10806-ND","FGH0H105ZF","KEMET","KEMET","CAP 1F -20% +80% 5.5V T/H","749","5.43","0","1","Bulk","FGH","Active","1 F","-20%, +80%","5.5 V","35Ohm @ 1kHz","-","PC Pins","Through Hole","Radial, Can","0.300"" (7.62mm)","0.846"" Dia (21.50mm)","0.374"" (9.50mm)","-25°C ~ 70°C"
"http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dbj_e.pdf","//media.digikey.com/Photos/Elna%20America%20Photos/DBJ-5R5D105T.jpg","604-1166-ND","DBJ-5R5D105T","Elna America","Elna America","CAP 1F -20% +80% 5.5V T/H","4,726","5.46","0","1","Bulk","DBJ","Active","1 F","-20%, +80%","5.5 V","75Ohm @ 1kHz","1000 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.846"" Dia (21.50mm)","0.315"" (8.00mm)","-10°C ~ 85°C"
"https://www.eaton.com/content/dam/eaton/products/electronic-components/resources/data-sheet/eaton-pb%20supercapacitors-cylindrical-pack-data-sheet.pdf","//media.digikey.com/photos/Cooper%20Bussmann%20Photos/PB%20SERIES%2022.0H,16.8L.jpg","283-2789-ND","PB-5R0V105-R","Eaton - Electronics Division","Eaton - Electronics Division","CAP 1F -20% +80% 5V T/H","2,062","5.47","0","1","Bulk","PB","Active","1 F","-20%, +80%","5 V","500mOhm @ 100Hz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.465"" (11.80mm)","0.681"" L x 0.354"" W (17.30mm x 9.00mm)","0.866"" (22.00mm)","-25°C ~ 70°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM-SHRK-WRP.jpg","478-12583-ND","SCMR14D474PRBB0","AVX Corporation","AVX Corporation","CAP 470MF 0% +100% 5.4V T/H","3,032","5.64","0","1","Bulk","SCM","Active","470 mF","0%, +100%","5.4 V","300mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.453"" (11.50mm)","0.630"" L x 0.315"" W (16.00mm x 8.00mm)","0.610"" (15.50mm)","-40°C ~ 85°C"
"https://www.tecategroup.com/products/data_sheet.php?i=TPLH-2R7/25WR12X35","//media.digikey.com/Photos/TecateGroup/MFG_TPLH-2R7-Series.jpg","2085-TPLH-2R7/25WR12X35-ND","TPLH-2R7/25WR12X35","Tecate Group","Tecate Group","CAP 25F 2.7V THROUGH HOLE","7,486","5.65","0","1","Bulk","TPLH-2R7","Active","25 F","-","2.7 V","20mOhm @ 1kHz","1500 Hrs @ 85°C","PC Pins","Through Hole","Radial, Can","0.209"" (5.30mm)","0.492"" Dia (12.50mm)","1.476"" (37.50mm)","-40°C ~ 85°C"
"http://datasheets.avx.com/AVX-SCC-3.0V.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCC-SHRK-WRP.jpg","478-11290-ND","SCCU25E256SRB","AVX Corporation","AVX Corporation","CAP 25F -10% +30% 3V T/H","254","5.66","0","1","Bulk","SCC","Active","25 F","-10%, +30%","3 V","27mOhm @ 1kHz","1000 Hrs @ 60°C","PC Pins","Through Hole","Radial, Can","0.295"" (7.50mm)","0.630"" Dia (16.00mm)","1.063"" (27.00mm)","-40°C ~ 65°C"
"https://datasheets.avx.com/AVX-SCM.pdf","//media.digikey.com/Photos/AVX%20Photos/MFG_AVX_SCM_HighRel.jpg","478-10014-ND","SCMR22C155PSBA0H","AVX Corporation","AVX Corporation","CAP 1.5F 0% +100% 5V T/H","2,541","5.71","0","1","Bulk","SCM","Active","1.5 F","0%, +100%","5 V","200mOhm @ 1kHz","1000 Hrs @ 65°C","PC Pins","Through Hole","Radial, Can","0.453"" (11.50mm)","0.728"" L x 0.374"" W (18.50mm x 9.50mm)","1.004"" (25.50mm)","-40°C ~ 85°C"
